encoder,R2_valence,R2_arousal,R2_overall,mean_err
text_ib,-0.2753,-0.0094,-0.1424,0.9184
text_ib_multi,-0.2837,-0.2881,-0.2859,0.9667
text_ib_chorus,-0.684,-0.4202,-0.5521,1.0899
image_clip,-0.5481,-0.623,-0.5855,1.0913
audio_mert_orig,-0.7621,-0.6467,-0.7044,1.1136
image_ib,-0.9014,-0.5732,-0.7373,1.1694
audio_mert_energy,-0.6726,-0.8872,-0.7799,1.1337
audio_mert_random,-0.8489,-0.7462,-0.7975,1.1281
audio_ib_orig,-1.1715,-0.8943,-1.0329,1.2207
audio_ib_energy,-1.574,-0.6629,-1.1184,1.2512
audio_ib_random,-0.869,-1.4871,-1.178,1.233
text_clap_multi,-1.7195,-1.3009,-1.5102,1.362
text_clap_chorus,-1.5134,-2.1186,-1.816,1.4224
text_clap,-3.1136,-1.1629,-2.1383,1.5205
